id,gtin,name,brand_id,category,package_company_text,image_url,created_at,updated_at
product-josephs-lavash-bread,074117000734,Joseph's Lavash Bread,brand-josephs-bakery,Flatbread,,,2026-07-17,2026-07-17
product-trader-joes-organic-vegetarian-chili,00712996,Trader Joe's Organic Vegetarian Chili,brand-trader-joes,Canned Goods,"Distributed and sold exclusively by Trader Joe's, Monrovia, CA 91016",,2026-07-17,2026-07-17
product-wholesome-pantry-light-red-kidney-beans,041190055661,Light Red Kidney Beans,brand-wholesome-pantry-organic,Canned Goods,"Distributed by Wakefern Food Corp., 5000 Riverside Drive, Keasbey, NJ 08832",,2026-07-17,2026-07-17
product-tuttorosso-tomato-paste,072940757092,Tomato Paste,brand-tuttorosso,Canned Goods,"Distributed by Red Gold, LLC",,2026-07-17,2026-07-17
product-envirokidz-choco-chimps,058449870241,Organic Chocolate Choco Chimps,brand-envirokidz,Cereal,"Distributed by Nature's Path Foods Inc.",,2026-07-17,2026-07-17
product-fage-total-greek-yogurt,689544083023,FAGE Total Greek Yogurt,brand-fage,Yogurt,"FAGE USA Dairy Industry, Inc., Johnstown, NY 12095",,2026-07-20,2026-07-20
product-spindrift-sparkling-water,850017142350,Spindrift Sparkling Water,brand-spindrift,Soft Drink,"Distributed by Spindrift Sparkling Water Co., LLC, Newton, MA 02458",,2026-07-20,2026-07-20
product-campbells-cream-of-chicken,051000010315,Cream of Chicken Soup,brand-campbells,Canned Goods,"Distributed by Campbell Soup Company, Camden, NJ 08103-1701",,2026-07-20,2026-07-20
product-cheerios,00016000124790,Cheerios,brand-cheerios,Cereal,Distributed by General Mills,,2026-07-20,2026-07-20
product-poppi,00810063710323,Poppi,brand-poppi,Soft Drink,Distributed by PepsiCo,,2026-07-20,2026-07-20
product-good-and-gather-creamy-peanut-butter,085239276495,Creamy Peanut Butter,brand-good-and-gather,Nut Butter,Distributed by Target Corporation,,2026-07-20,2026-07-20
product-king-arthur-flour,071012010509,Flour,brand-king-arthur,Flour,,,2026-07-20,2026-07-20
product-gerber-mixed-berries-yogurt-melts,015000047313,Mixed Berries Freeze-Dried Yogurt Melts,brand-gerber,Baby Snacks,Gerber Products Company,,2026-07-20,2026-07-20
